id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
870790230345226165,"Zimmer in Zürich, perfekte Lage!",22104843,Deniz-Can,Kreis 11,Oerlikon,47.40827,8.54511,Private room,72,1,7,2024-04-14,0.57,1,352,7,
871071794845644862,the good old place (central),149996298,Sam,Kreis 4,Hard,47.38056,8.51195,Entire home/apt,109,1,25,2024-06-21,1.85,1,353,18,
871569367098563199,"Appartement, Centre, Wiedikon",104674430,Jules,Kreis 4,Werd,47.3723712,8.5240567,Entire home/apt,,3,61,2024-06-23,4.29,1,0,50,
872343712931267300,Room in Zurich City next to Lake,10696193,Shelly,Kreis 8,Mühlebach,47.36381,8.55287,Private room,151,1,52,2024-06-16,3.65,3,357,39,
872422813897923548,Gemütliche Wohnung in der historischen Altstadt,462162715,John,Kreis 1,Rathaus,47.3710617,8.5436658,Entire home/apt,276,1,116,2024-06-18,8.06,2,69,93,
872521064940552667,Sunny bedroom in beautiful loft,4124134,Antranik,Kreis 11,Oerlikon,47.40416,8.55197,Private room,100,2,11,2024-06-12,0.85,2,225,8,
873117844498595674,"Beautiful, stylisch 3BR city apt",380888793,Nico,Kreis 7,Hirslanden,47.3634328,8.5676109,Entire home/apt,344,2,80,2024-06-12,5.63,3,321,71,
873352562306241777,Fu Ma,100457841,Yuxia,Kreis 11,Affoltern,47.42492575876604,8.499320894479752,Private room,75,1,0,,,1,358,0,
873724659294392413,Bright large flat at Kunsthaus,5105764,Pierre,Kreis 7,Hottingen,47.3680433,8.5519912,Entire home/apt,,8,2,2024-01-08,0.15,1,5,1,
874311469779243216,Central appartement - 5 min from Letzigrund,393365162,Oliver,Kreis 4,Langstrasse,47.37457,8.52402,Entire home/apt,156,1,20,2023-11-17,1.41,1,45,13,
874394306908557135,Lightful apartment in Zurich,9075860,Giulia,Kreis 9,Altstetten,47.39072,8.48456,Entire home/apt,,6,0,,,1,0,0,
875927347002417506,Zentrale und gemütliche Wohnung,11123830,Eva-Maria,Kreis 5,Gewerbeschule,47.38571959999999,8.528321499999999,Entire home/apt,150,3,2,2024-06-22,0.22,1,51,2,
876012602984828916,STAYY Bijou Balgrist near Hospital /free Parking,38886244,Patrick,Kreis 8,Weinegg,47.3555802,8.5745335,Entire home/apt,276,1,30,2024-06-27,2.48,5,296,30,
876111617817116087,Stylish & Cozy Flat in Centre,362701555,Samuel,Kreis 4,Werd,47.3698995,8.5271242,Entire home/apt,146,6,1,2023-05-12,0.07,1,27,0,
876233215992279292,Appartement Zurich,52254746,Martin,Kreis 10,Wipkingen,47.39549,8.52009,Entire home/apt,,1,1,2023-05-18,0.07,1,0,0,
876637964512870414,Urban Oasis with Queen Bed and City View (BE-33),25291258,Delta,Kreis 3,Sihlfeld,47.37548,8.51538,Entire home/apt,153,1,11,2024-06-15,0.87,48,254,10,
876650755170419594,Urban Oasis with Queen Bed and City View (BE-18),25291258,Delta,Kreis 3,Sihlfeld,47.37438,8.51514,Entire home/apt,159,1,13,2024-06-09,0.99,48,259,11,
876757020727467580,Studio apartment in City Center,13830423,Torge Froehlich,Kreis 6,Oberstrass,47.38241,8.54486,Entire home/apt,,14,2,2023-11-11,0.15,1,0,1,
